,Place_ID X Date,Date,Place_ID,precipitable_water_entire_atmosphere,relative_humidity_2m_above_ground,specific_humidity_2m_above_ground,temperature_2m_above_ground,u_component_of_wind_10m_above_ground,v_component_of_wind_10m_above_ground,L3_NO2_NO2_column_number_density,L3_NO2_NO2_slant_column_number_density,L3_NO2_absorbing_aerosol_index,L3_NO2_cloud_fraction,L3_NO2_sensor_altitude,L3_NO2_sensor_azimuth_angle,L3_NO2_sensor_zenith_angle,L3_NO2_solar_azimuth_angle,L3_NO2_solar_zenith_angle,L3_NO2_stratospheric_NO2_column_number_density,L3_NO2_tropopause_pressure,L3_NO2_tropospheric_NO2_column_number_density,L3_O3_O3_column_number_density,L3_O3_O3_effective_temperature,L3_O3_cloud_fraction,L3_O3_sensor_azimuth_angle,L3_O3_sensor_zenith_angle,L3_O3_solar_azimuth_angle,L3_O3_solar_zenith_angle,L3_CO_CO_column_number_density,L3_CO_H2O_column_number_density,L3_CO_cloud_height,L3_CO_sensor_altitude,L3_CO_sensor_azimuth_angle,L3_CO_sensor_zenith_angle,L3_CO_solar_azimuth_angle,L3_CO_solar_zenith_angle,L3_HCHO_HCHO_slant_column_number_density,L3_HCHO_cloud_fraction,L3_HCHO_sensor_azimuth_angle,L3_HCHO_sensor_zenith_angle,L3_HCHO_solar_azimuth_angle,L3_HCHO_solar_zenith_angle,L3_HCHO_tropospheric_HCHO_column_number_density,L3_HCHO_tropospheric_HCHO_column_number_density_amf,L3_CLOUD_cloud_base_height,L3_CLOUD_cloud_base_pressure,L3_CLOUD_cloud_fraction,L3_CLOUD_cloud_optical_depth,L3_CLOUD_cloud_top_height,L3_CLOUD_cloud_top_pressure,L3_CLOUD_sensor_azimuth_angle,L3_CLOUD_sensor_zenith_angle,L3_CLOUD_solar_azimuth_angle,L3_CLOUD_solar_zenith_angle,L3_CLOUD_surface_albedo,L3_AER_AI_absorbing_aerosol_index,L3_AER_AI_sensor_altitude,L3_AER_AI_sensor_azimuth_angle,L3_AER_AI_sensor_zenith_angle,L3_AER_AI_solar_azimuth_angle,L3_AER_AI_solar_zenith_angle,L3_SO2_SO2_column_number_density,L3_SO2_SO2_column_number_density_amf,L3_SO2_SO2_slant_column_number_density,L3_SO2_absorbing_aerosol_index,L3_SO2_cloud_fraction,L3_SO2_sensor_azimuth_angle,L3_SO2_sensor_zenith_angle,L3_SO2_solar_azimuth_angle,L3_SO2_solar_zenith_angle,L3_CH4_CH4_column_volume_mixing_ratio_dry_air,L3_CH4_aerosol_height,L3_CH4_aerosol_optical_depth,L3_CH4_sensor_azimuth_angle,L3_CH4_sensor_zenith_angle,L3_CH4_solar_azimuth_angle,L3_CH4_solar_zenith_angle
4,0OS9LVX X 2020-01-06,2020-01-06,0OS9LVX,9.699999809265137,71.5999984741211,0.0080800000578165,11.896295166015651,3.511786937713623,-0.2794409096240997,5.5080281472881455e-05,0.0001308538691508,0.4607203983049104,0.0411968694697218,836043.1110088626,-102.133960034696,40.9258727065776,-96.05723647560671,28.320528456250116,4.699676809912423e-05,6156.07421875,8.085550979404382e-06,0.1145918023265783,229.49021795857288,0.0427768146140954,-102.13395749852704,40.92587269524417,-96.05726532294844,28.320526862644428,0.0186660608791241,666.8091446182276,1.0,835978.2378276308,-100.25227947905717,41.00403643126759,-96.05990868616416,28.332549643266,-9.03713868311818e-05,0.0420554020968044,-102.13393011122496,40.92580263342351,-96.05757759277164,28.320496350946357,-2.737301019754713e-05,1.4264665508826817,2557.1966962372658,74589.27671653482,0.0421683319427763,6.874006457548338,2571.2933077484204,74483.68030982502,-102.13395749852704,40.92587269524417,-96.05726532294844,28.320526862644428,0.3314679424689037,0.4607200627520451,836043.1110088626,-102.133960034696,40.9258727065776,-96.05723647560671,28.320528456250116,9.338974639700338e-05,0.6773054240407848,6.526173112941108e-05,-0.1083527476068545,0.0427768146140954,-102.13395749852704,40.92587269524417,-96.05726532294844,28.320526862644428,1831.2615966796875,3229.11865234375,0.0310680530965328,-100.2783432006836,41.84708023071289,-95.9107437133789,28.498788833618164
5,0OS9LVX X 2020-01-07,2020-01-07,0OS9LVX,13.40000057220459,69.30000305175781,0.0082815596833825,12.7448669433594,3.9456028938293457,-0.2409252822399139,5.809713660205649e-05,0.000114170333807,0.8438090016295959,0.023191104610005,835776.7308847739,-102.8944220715994,10.836973363428614,-94.79964289954049,23.90785970901944,4.601722846738058e-05,7311.869140625,1.207990857961836e-05,0.1141676319184227,229.8751686810716,0.0399870101635421,-102.8944220715994,10.836973363428614,-94.79964289954049,23.90785970901944,0.0174822998928978,504.23851526094137,5.518741293026693,835730.7232042294,-96.99392086368071,10.907597962354254,-94.80295664668516,23.91619225453525,9.502855549524158e-06,0.0399870101635421,-102.8944220715994,10.836973363428614,-94.79964289954049,23.90785970901944,4.581563251043958e-05,1.5916660296173633,2550.201346992835,74734.77321481913,0.0398400708032884,6.956400508499812,2550.375629458567,74733.37766713106,-102.8944220715994,10.836973363428614,-94.79964289954049,23.90785970901944,0.3269757676595651,0.8438134851805716,835776.7308847739,-102.8944220715994,10.836973363428614,-94.79964289954049,23.90785970901944,8.66403076055769e-05,0.7463362909504704,4.455912189927111e-05,0.2506700403051152,0.0399870101635421,-102.8944220715994,10.836973363428614,-94.79964289954049,23.90785970901944,1837.7747232591532,2994.6707205552534,0.0215289503874078,-97.42957802117571,11.77790986346416,-94.48295658372028,24.036352747676787
7,0OS9LVX X 2020-01-09,2020-01-09,0OS9LVX,9.5,38.29999923706055,0.005008288193494,14.1265808105469,4.487685680389403,2.1496386528015137,6.351551417892451e-05,0.0001517293877644,0.3976062006566353,7.520846653473325e-05,834981.1500965841,75.58388741755525,49.9785133115124,-91.77851491123144,15.111800096452788,4.7622005120396165e-05,7311.869140625,1.5893508923447047e-05,0.1124394774430983,231.53224266394267,0.0047867258509185,75.58388741755525,49.9785133115124,-91.77851491123144,15.111800096452788,0.0197259901428987,355.921689568313,118.04021508849443,834905.2652234724,73.83614902994971,50.15339578710782,-91.75734844407152,15.107628735495224,3.907805077035343e-05,0.0047867258509185,75.58388741755525,49.9785133115124,-91.77851491123144,15.111800096452788,6.685525936557915e-05,1.6471428999749729,2499.021407732177,75629.99162800459,0.0048066468362983,5.072049422816601,2499.021407732177,75629.99162800459,75.58388741755525,49.9785133115124,-91.77851491123144,15.111800096452788,0.2812748019299121,0.3976064822319536,834981.1500965841,75.58388741755525,49.9785133115124,-91.77851491123144,15.111800096452788,-0.0001635901348574,0.6012227084583768,-0.0001006189613665,-0.119307952770557,0.0047867258509185,75.58388741755525,49.9785133115124,-91.77851491123144,15.111800096452788,1844.61847938002,3514.182445094036,0.1193882048318017,73.83911104346178,49.38333913604156,-91.71403529138117,15.281164680310242
9,0OS9LVX X 2020-01-11,2020-01-11,0OS9LVX,10.396143913269045,29.70000076293945,0.0041128345765173,14.959802246093776,1.50894033908844,1.4409887790679932,5.31458326897454e-05,0.0001373192860439,-0.0016035206663784,0.0635491781404759,836109.8340970541,-102.07457142181788,48.14179522050333,-94.86325004628902,29.366900612706647,4.989280871864564e-05,7311.869140625,3.2531864917936494e-06,0.1132863749814812,230.5251171011158,0.0478296360557998,-102.07459293037316,48.14181376404654,-94.86305332995188,29.366919690673534,0.019557811516869,511.3461462648223,2676.385112749597,836034.8659757263,-100.33739402590086,48.06648179847637,-94.84558769863862,29.345926239744355,1.6628120237560604e-05,0.0478296360557998,-102.07459293037316,48.14181376404654,-94.86305332995188,29.366919690673534,5.722524028181868e-05,1.5031870615381655,9934.869968838851,33925.352192520164,0.0501480005843341,18.816918693571253,10689.47119583272,31656.642362437666,-102.07459293037316,48.14181376404654,-94.86305332995188,29.366919690673534,0.3306795634270739,-0.0016046039194986,836109.8340970541,-102.07457142181788,48.14179522050333,-94.86325004628902,29.366900612706647,0.000179348671088,0.5473115801492808,8.68235463110346e-05,-0.4046848510435077,0.0478296360557998,-102.07459293037316,48.14181376404654,-94.86305332995188,29.366919690673534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0OS9LVX X 2020-01-12,2020-01-12,0OS9LVX,10.699999809265137,26.30000114440918,0.0041999998502433,17.127954101562526,3.980805635452272,1.6122655868530271,6.629710616485976e-05,0.000131242466446,0.8760125316734038,0.0482714834592982,835866.9894944689,-102.56330209056472,22.301007781251627,-93.30075407529633,24.960764762664063,4.657259602691057e-05,6156.07421875,1.9724509758723947e-05,0.1141429127939218,229.2481322157572,0.0587161254871117,-102.56330209056472,22.301007781251627,-93.30075407529633,24.960764762664063,0.0194384839374666,536.0794611190901,-2.355453255000272,835817.0480759627,-99.58048159225883,22.35673633516319,-93.30403638470008,24.96924845306273,1.2030022724149056e-05,0.0587161254871117,-102.56330209056472,22.301007781251627,-93.30075407529633,24.960764762664063,4.594437345832338e-05,1.6987882311936435,2585.077589240213,74067.93092173747,0.056885473553112,7.214849314480113,2585.077589240213,74067.93092173747,-102.56330209056472,22.301007781251627,-93.30075407529633,24.960764762664063,0.3433128650436456,0.8760148310623523,835866.9894944689,-102.56330209056472,22.301007781251627,-93.30075407529633,24.960764762664063,0.0002080488192461,0.8622992632166081,0.0001497132741994,0.3053364055579104,0.0587161254871117,-102.56330209056472,22.301007781251627,-93.30075407529633,24.960764762664063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0OS9LVX X 2020-01-13,2020-01-13,0OS9LVX,8.699999809265138,24.60000038146973,0.0036450761836022,16.021325683593773,1.868847608566284,0.3640454113483429,6.078153403825226e-05,0.0001196796688146,0.5763295345829846,0.0062766323484511,835538.09128832,76.58042464426687,13.452336036819966,-91.49186449554536,20.56305724707779,4.727040018525112e-05,6156.07421875,1.3511133344743945e-05,0.1134143441922681,229.7261919828641,0.0258123607779679,76.58042464426687,13.452336036819966,-91.49186449554536,20.56305724707779,0.0211593908495453,554.0084300276746,61.99467864082926,835491.727785303,71.76297451558942,13.516988953841985,-91.49649735704035,20.571633041441626,3.0110860664889568e-05,0.0258123607779679,76.58042464426687,13.452336036819966,-91.49186449554536,20.56305724707779,6.248502643332617e-05,1.5832902324806457,2614.55265741655,74194.17940550084,0.0260109193542385,6.341954179504672,2682.7493147622745,73720.82368715058,76.58042464426687,13.452336036819966,-91.49186449554536,20.56305724707779,0.293150525268112,0.5763311439557884,835538.09128832,76.58042464426687,13.452336036819966,-91.49186449554536,20.56305724707779,0.0001921419815401,0.9021960269885956,0.0001659326489778,-0.080916466832638,0.0258123607779679,76.58042464426687,13.452336036819966,-91.49186449554536,20.56305724707779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0OS9LVX X 2020-01-14,2020-01-14,0OS9LVX,10.5,32.200000762939446,0.0046736188232898,15.6839538574219,2.9429247379302983,1.9501049518585205,5.7108310712805504e-05,0.0001311103822164,-0.0138601205890244,0.0050344273189501,835119.7455317455,75.71340509673904,42.94452479143355,-89.21493207210649,16.182216105699002,4.752919165476239e-05,7311.869140625,9.578756232645886e-06,0.1148490173613505,230.65571657789627,0.0150147252720912,75.71336983844036,42.946514569790025,-89.21418021866755,16.18187327310115,0.0227578959308104,786.7920654683901,289.39398003386526,835054.8015838972,73.84455823873863,43.0340326922858,-89.21369849111265,16.193443214730188,1.931106767329385e-05,0.0150147252720912,75.71336983844036,42.946514569790025,-89.21418021866755,16.18187327310115,5.357840162140812e-05,1.7209383615488243,2954.0415271914085,71938.55192752357,0.0151688280338239,5.581954951343344,3291.6156111284386,69409.9341748798,75.71336983844036,42.946514569790025,-89.21418021866755,16.18187327310115,0.3065053502386272,-0.0138580445064669,835119.7455317455,75.71340509673904,42.94452479143355,-89.21493207210649,16.182216105699002,5.160510038343878e-05,0.8029914698915874,4.399152631852216e-05,-0.5860536670705733,0.0150147252720912,75.71336983844036,42.946514569790025,-89.21418021866755,16.18187327310115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0OS9LVX X 2020-01-16,2020-01-16,0OS9LVX,11.300000190734863,14.90000057220459,0.0021850087214261,15.802789306640651,3.18468976020813,-0.5590063333511353,5.614379729886064e-05,0.0001485049548119,-0.1245456133098048,0.1192027006060195,836168.9993467801,-102.12743642363804,54.16661764550162,-93.4338022630535,30.51497549901492,4.853616984562147e-05,6156.07421875,8.172191323083203e-06,0.1144204053029695,231.00918148220163,0.0720614297496737,-102.12743642363804,54.16661764550162,-93.4338022630535,30.51497549901492,0.0223228219150232,1310.7299272141372,4268.061441650412,836083.0615730798,-100.4614883776787,54.20190556234662,-93.42168171851092,30.51721173441725,7.199533329318563e-05,0.0698858285763423,-102.12754612755369,54.16634681984996,-93.43290946078211,30.514994822659983,7.848875197366159e-05,1.6581296936817018,7439.212423201496,44915.03570709007,0.0739065267656257,7.681100788369867,8290.689567273785,40712.952934830726,-102.12743642363804,54.16661764550162,-93.4338022630535,30.51497549901492,0.3311792469838409,-0.1245441146464868,836168.9993467801,-102.12743642363804,54.16661764550162,-93.4338022630535,30.51497549901492,-0.0002119608156327,0.6231526483334459,-0.0001177376947419,-0.5747175427323522,0.0718942145926398,-102.12744592308842,54.16711006488894,-93.4338320945494,30.51510466568711,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0OS9LVX X 2020-01-17,2020-01-17,0OS9LVX,17.200000762939453,27.20000076293945,0.0043100169859826,17.042840576171898,2.3859851360321045,1.3740013837814329,6.137014932531023e-05,0.000125388459266,0.6609501135554273,0.0521061769270307,835946.2337286957,-102.30363495874816,32.405897776769045,-91.56161895006692,26.12043461736308,4.510302105299975e-05,6156.07421875,1.6267128368295518e-05,0.1132078838173377,229.40291332180595,0.0496204844364338,-102.30370756397524,32.40538931693005,-91.56065972122524,26.1204326403608,0.0230018182068323,1127.0135014374755,475.99062598987473,835889.8309943981,-100.10885581527876,32.466485107472245,-91.56519356206093,26.129601770567056,7.928480248930821e-05,0.0496204844364338,-102.30370756397524,32.40538931693005,-91.56065972122524,26.1204326403608,8.609121385850313e-05,1.5398038975995554,2928.817492217843,72035.61340404306,0.0491234946687628,7.278277343834662,2981.514776143319,71798.10802662578,-102.30370756397524,32.40538931693005,-91.56065972122524,26.1204326403608,0.3404531474891492,0.6609565687531782,835946.2337286957,-102.30363495874816,32.405897776769045,-91.56161895006692,26.12043461736308,-3.363736972018007e-05,0.7723853138321753,-1.4537042093758578e-05,0.0843703129672273,0.0496204844364338,-102.30370756397524,32.40538931693005,-91.56065972122524,26.1204326403608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0OS9LVX X 2020-01-18,2020-01-18,0OS9LVX,22.80000114440918,35.70000076293945,0.006710619200021,19.753594970703148,2.7742016315460205,1.673749923706055,6.692558397162098e-05,0.0001249825886127,0.547129885942701,0.0333661948153429,835644.6223472941,60.82889766322149,1.3199773872423144,-89.33463434009924,21.73828330045276,4.576685896008617e-05,7311.869140625,2.1232505117723045e-05,0.1129894671455276,228.1312918210781,0.0597907869574782,60.44777168344919,1.321096155879533,-89.33494051254516,21.73819746432473,0.0237300115308545,1263.165158991833,1021.8424028018457,835600.4837331935,28.23759340968464,1.7976370606256016,-89.33604662810956,21.74863426872523,0.0001141196976007,0.0597907869574782,60.44777168344919,1.321096155879533,-89.33494051254516,21.73819746432473,0.0001248646365871,1.3824135387105116,4570.666193320574,60976.60184277281,0.0600532266161148,5.826291136864962,4956.016521025587,59065.95134090914,60.44777168344919,1.321096155879533,-89.33494051254516,21.73819746432473,0.290131064770821,0.5471255799584207,835644.6223472941,60.82889766322149,1.3199773872423144,-89.33463434009924,21.73828330045276,0.0002188049982313,0.6452013894277709,0.0001351949054544,0.0245839462721897,0.0597907869574782,60.44777168344919,1.321096155879533,-89.33494051254516,21.73819746432473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
